Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2012-13,RS,Nov,44,2012-11-02,Atlanta Hawks,Houston Rockets,Home,L,Atlanta,0,No Travel,15,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,45,2012-11-04,Atlanta Hawks,Oklahoma City Thunder,Away,W,Oklahoma City,753,Atlanta - Oklahoma City,1,America/Chicago,-1,~1.37 hours,West,,35.47,-97.51,33.76,-84.42
2012-13,RS,Nov,45,2012-11-07,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,753,Oklahoma City - Atlanta,2,America/New_York,1,~1.37 hours,East,,33.76,-84.42,35.47,-97.51
2012-13,RS,Nov,45,2012-11-09,Atlanta Hawks,Miami Heat,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,46,2012-11-11,Atlanta Hawks,Los Angeles Clippers,Away,L,Los Angeles,1941,Atlanta - Los Angeles,1,America/Los_Angeles,-3,~3.53 hours,West,,34.11,-118.41,33.76,-84.42
2012-13,RS,Nov,46,2012-11-12,Atlanta Hawks,Portland Trail Blazers,Away,W,Portland,821,Los Angeles - Portland,0,America/Los_Angeles,0,~1.49 hours,-,,45.54,-122.66,34.11,-118.41
2012-13,RS,Nov,46,2012-11-14,Atlanta Hawks,Golden State Warriors,Away,L,San Francisco,537,Portland - San Francisco,1,America/Los_Angeles,0,~58.58 minutes,-,,37.77,-122.45,45.54,-122.66
2012-13,RS,Nov,46,2012-11-16,Atlanta Hawks,Sacramento Kings,Away,W,Sacramento,77,San Francisco - Sacramento,1,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,37.77,-122.45
2012-13,RS,Nov,47,2012-11-19,Atlanta Hawks,Orlando Magic,Home,W,Atlanta,2080,Sacramento - Atlanta,2,America/New_York,3,~3.78 hours,East,,33.76,-84.42,38.57,-121.47
2012-13,RS,Nov,47,2012-11-21,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,47,2012-11-23,Atlanta Hawks,Charlotte Bobcats,Away,W,Charlotte,227,Atlanta - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,33.76,-84.42
2012-13,RS,Nov,47,2012-11-24,Atlanta Hawks,Los Angeles Clippers,Home,W,Atlanta,227,Charlotte - Atlanta,0,America/New_York,0,~55 minutes,-,,33.76,-84.42,35.2,-80.83
